DBIndex,LanguageKey,Distribution,Value
20,2,10,"elementary OS is a Linux distribution based on Ubuntu. It makes use of a desktop with its own shell named Pantheon, and is deeply integrated with other elementary OS applications like Plank (a dock), Midori (the default web browser) and Scratch (a simple text editor). This distribution uses Gala as its window manager, which is based on Mutter.  The distribution initially started as a set of themes and applications designed for Ubuntu which later turned into its own Linux distro. Being Ubuntu-based, it is compatible with its repositories and packages. It uses Ubuntu's own software center to handle installation/removal of software, though its own software center is in the making. Its user interface aims at being intuitive for new users without consuming too many resources."
21,1,11,"Laut verschiedener Tests zeichnet sich PCLinuxOS durch seine Einfachheit und Benutzerfreundlichkeit sowie die überdurchschnittlich gute Hardwareerkennung aus. Von Heimanwendern oft benutzte Software wie Codecs für Multimediadateien, Flash und Java ist bei PCLinuxOS vorinstalliert, und als Standard-Arbeitsumgebung kommt KDE Plasma Desktop mit dem von Debian stammenden Paketverwaltungs-Tool APT in der Variante APT-RPM und dessen grafischem Aufsatz Synaptic zum Einsatz."
22,2,11,"PCLinuxOS, often shortened to PCLOS, is a Linux distribution, with KDE Plasma Desktop as its default user interface. It is a primarily free software operating system for personal computers aimed at ease of use. It is considered a rolling release."
23,1,12,"CentOS (Community ENTerprise Operating System) ist eine Linux-Distribution, die auf der Distribution Red Hat Enterprise Linux (RHEL) des Unternehmens Red Hat aufbaut. Die Distribution wird von einer offenen Gruppe von freiwilligen Entwicklern betreut, gepflegt und weiterentwickelt.

CentOS ist hinter Debian und Ubuntu die dritthäufigste verwendete Linux-Distribution für Web-Server."
24,2,12,"CentOS (abbreviated from Community Enterprise Operating System) is a Linux distribution that attempts to provide a free, enterprise-class, community-supported computing platform which aims to be 100% binary compatible with its upstream source, Red Hat Enterprise Linux (RHEL). In January 2014, it was announced that CentOS was officially joining forces with Red Hat while staying independent from RHEL, under a new CentOS Governing Board.  The first CentOS release in May 2004, numbered as CentOS version 2, was forked from RHEL version 2.1AS.[1] As of versions 5.10 and 6.5, CentOS officially supports x86-64 and x86 architectures (with Physical Address Extension (PAE) required for the latter), while a beta release is expected to be available for the PowerPC architecture."
25,1,13,"Puppy Linux ist eine platzsparende und schnelle Linux-Distribution, die unter anderem direkt von einer Live-CD betrieben werden kann. Aus Quelltext kompiliert, basiert Puppy auf keiner anderen Linux-Distribution.
Der Name leitet sich von dem inzwischen verschwundenen Chihuahua Puppy (dt.: Welpe) des australischen Projektgründers Barry Kauler ab.

Ein Ziel des Betriebssystems ist es, auch von Benutzern ohne Linuxkenntnisse sofort genutzt werden zu können. Die Entwickler versuchen dies durch unkomplizierte, benutzerfreundliche Bedienung und breite Hardwareunterstützung zu erreichen."
26,2,13,"Puppy Linux operating system is a lightweight Linux distribution that focuses on ease of use and minimal memory footprint. The entire system can be run from RAM with current versions generally taking up about 130 MB, allowing the boot medium to be removed after the operating system has started. Applications such as AbiWord (word documents), Gnumeric (spreadsheets) and MPlayer (multimedia player) are included, along with a choice of lightweight web browsers. The distribution was originally developed by Barry Kauler and other members of the community. The tool Woof can build a Puppy Linux distribution from the binary packages of other Linux distributions."
27,1,14,"Knoppix ist eine freie GNU/Linux-Distribution, deren Fokus auf dem Live-Betrieb liegt. Sie wird von Klaus Knopper entwickelt, von dessen Namen sich die Benennung Knoppix ableitet. Knoppix liegt hin und wieder Computerzeitschriften bei und basiert auf einer Mischung aus Debian unstable und testing. Sie wurde vom deutschen Bundesamt für Sicherheit in der Informationstechnik unterstützt und verteilt."
28,2,14,"Knoppix, or KNOPPIX (/knɒpɪks/ knop-iks),[2] is an operating system based on Debian designed to be run directly from a CD / DVD (Live CD) or a USB flash drive (Live USB), one of the first of its kind for any operating system. Knoppix was developed by Linux consultant Klaus Knopper. When starting a program, it is loaded from the removable medium and decompressed into a RAM drive. The decompression is transparent and on-the-fly.  Although Knoppix is primarily designed to be used as a Live CD, it can also be installed on a hard disk like a typical operating system. Computers that support booting from USB devices can load Knoppix from a live USB flash drive or memory card.  There are two main editions of Knoppix: the traditional Compact Disc (700 megabytes) edition and the DVD (4.7 gigabytes) ""Maxi"" edition. Each of these main editions have two language-specific editions: English and German."
29,1,15,"Gentoo Linux ist eine quellbasierte Linux-Distribution für fortgeschrittene Linux-Benutzer, die ihr System komplett individuell einrichten möchten. Voraussetzung dafür ist die Bereitschaft, sich mit den Abläufen eines Linux-Systems und der ausführlichen Dokumentation auseinanderzusetzen. Gentoo ist ein Warenzeichen der Gentoo Foundation, Inc., einer Non-Profit-Organisation."
30,2,15,"Gentoo Linux (/ˈdʒɛntuː/ jen-too[2]) is a computer operating system based on the Linux kernel and built using the Portage package management system. It is distributed as free and open source software. Unlike a binary software distribution, the source code is compiled locally according to the user's preferences and is often optimized for the specific type of computer. Precompiled binaries are available for some very large packages and for packages whose source code has not been released.  The ""Gentoo"" name comes from the fast-swimming Gentoo penguin. It was chosen to reflect the potential speed improvements of machine-specific optimization. Gentoo package management is designed to be modular, portable, easy to maintain, and flexible. Gentoo is sometimes described as a meta-distribution, ""because of its near-unlimited adaptability"", in that the majority of users have configurations and sets of installed programs which are unique to themselves."
31,1,16,"Antergos (ehemals Cinnarch) ist eine Linux-Distribution aus Galicien, die auf dem Betriebssystem Arch Linux basiert. Es wird die Arbeitsumgebung Gnome als Standard eingerichtet, aber es kann auch mit Cinnamon, MATE, Openbox oder Xfce installiert werden."
32,2,16,"Antergos (previously known as Cinnarch) is a Linux distribution of Galician origin based on the Arch Linux operating system. It uses the GNOME 3 desktop environment by default but it can also be used with Cinnamon, Razor-qt and Xfce. It was released on July 2012 as Cinnarch and by May 2013 it ranked among the top 30 most popular distributions at Distrowatch. The Galician word Antergos (meaning: ancestors) was chosen ""to link the past with the present""."
33,1,17,"Bedrock Linux ist eine Distribution, die versucht, die Vorteile verschiedener Distributionen miteinander zu verbinden. So ist es möglich, die stabilen Pakete aus Debian zu verwenden und gleichzeitig auch auf die neusten Arch-Pakete Zugriff zu besitzen."
34,2,17,Bedrock Linux is a Linux distribution created with the aim of making most of the (often seemingly mutually-exclusive) benefits of various other Linux distributions available simultaneously and transparently.
35,1,18,"The Amnesic Incognito Live System (Tails) ist eine auf Debian basierende Linux-Distribution, welche darauf abzielt, die Privatsphäre und Anonymität des Nutzers zu schützen. Jede ausgehende Verbindung geht durch das Tor-Netzwerk, direkte Verbindungen werden standardmäßig geblockt. Das System kann direkt von einer Live-DVD oder einem USB-Stick gebootet werden und hinterlässt so keine Spuren auf dem Arbeitsrechner, außer explizit erwünscht."
36,2,18,"Tails or The Amnesic Incognito Live System is a security-focused Debian-based Linux distribution aimed at preserving privacy and anonymity. All its outgoing connections are forced to go through Tor, and direct (non-anonymous) connections are blocked. The system is designed to be booted as a live DVD or live USB, and will leave no trace (digital footprint) on the machine unless explicitly told to do so. The Tor Project has provided most of the financial support for its development."
39,1,19,"Zorin OS ist eine auf Ubuntu basierende Distribution, die sich an Linux Einsteiger richtet. Die Oberfläche erinnert an die von Windows, um Einsteigern die Orientierung erleichtern zu können."
40,2,19,Zorin OS is an Ubuntu based Distribution for Linux newcomers. The user interface reminds on Windows to make an orientation more easy.
41,1,20,"Xubuntu ist ein von Canonical Ltd. veröffentlichtes Derivat des Betriebssystems Ubuntu und wird von einer freien Community gepflegt. Bei Ubuntu handelt es sich um eine freie und kostenlose Linux-Distribution, die wiederum von Debian abstammt. Xubuntu verwendet die Xfce-Desktopumgebung, die vor allem für ihre Stabilität und ressourcenschonende Arbeitsweise bekannt ist."
42,2,20,"Xubuntu (/zuːˈbuːntuː/ zoo-boon-too) is a Canonical Ltd.–recognized, community-maintained derivative of the Ubuntu operating system. It uses the Xfce desktop environment, instead of Ubuntu's Unity"
43,1,21,"Lubuntu ist ein offizielles Derivat der Linux-Distribution Ubuntu, das LXDE als Desktop-Umgebung nutzt. Das Betriebssystem ist auf alte und schwache Hardware ausgelegt, so läuft beispielsweise die Live-CD auch auf einem Pentium II mit 350 MHz und 128 MB RAM (Stand 2011). Durch die Verwendung des Openbox-Fenstermanagers braucht diese Linux-Distribution noch weniger Arbeitsspeicher als Xubuntu."
44,2,21,"Lubuntu (/lʊˈbʊntuː/ loo-buun-too) is a lightweight Linux operating system based on Ubuntu but using the LXDE desktop environment in place of Ubuntu's Unity shell and GNOME desktop. LXDE is touted as being ""lighter, less resource hungry and more energy-efficient""."
45,1,22,"Kubuntu ist ein Derivat der Linux-Distribution Ubuntu, bei dem als Desktopumgebung die KDE Plasma Workspaces statt Unity verwendet wird. Ubuntu bedeutet auf Zulu etwa „Menschlichkeit“ und bezeichnet eine afrikanische Philosophie. Das „k“ ist hierbei eine Präposition und steht für die Abkürzung von „KDE“. "
46,2,22,"Kubuntu (/kuːˈbuːntuː/ koo-boon-too) is an official derivative of the Ubuntu operating system which uses the KDE Plasma Desktop instead of the Unity graphical environment. As part of the Ubuntu project, Kubuntu uses the same underlying systems, every package in Kubuntu shares the same repositories as Ubuntu, and it is released regularly on the same schedule as Ubuntu."
47,1,23,"Slackware [ˈslækweə(ɹ)] ist die älteste aktive Linux-Distribution und die erste, die große weltweite Verbreitung fand. Wegen dieses frühen Erfolges und des konsequenten Verzichts auf unnötigen Ballast nach dem KISS-Prinzip bildete Slackware die Grundlage für andere bekannte Distributionen wie z. B. SuSE Linux. Slackware ist für die Verwendung mit i486-kompatiblen (ursprünglich i386-kompatiblen) und x86 64-Architekturen sowie Alpha- und SPARC-Architekturen bestimmt."
48,2,23,"Slackware is a Linux distribution created by Patrick Volkerding in 1993. Originally based on Softlanding Linux System, Slackware has been the basis for many other Linux distributions, most notably the first versions of SUSE Linux, and is the oldest currently being maintained.

Slackware aims for design stability and simplicity and to be the most ""Unix-like"" Linux distribution. It makes as few modifications as possible to software packages from upstream and tries not to anticipate use cases or preclude user decisions."
49,1,24,"Die Variante Ubuntu MATE verwendet die MATE an Stelle von Unity. Ab Version 14.10 ist Ubuntu MATE eine von Canonical offiziell anerkannte Variante.

Ubuntu MATE ist eine stabile, leicht zu bedienendes Betriebssystem mit einer konfigurierbare Arbeitsumgebung. Ideal für diejenigen, die das Beste aus ihren Desktops, Laptops und Netbooks möchten und bevorzugen eine traditionelle Desktop-Metapher. Mit bescheidenen Hardware-Anforderungen ist es für moderne Arbeitsplätze und älterer Hardware gleichermaßen geeignet."
50,2,24,"Ubuntu MATE is a stable, easy-to-use operating system with a configurable desktop environment. Ideal for those who want the most out of their desktops, laptops and netbooks and prefer a traditional desktop metaphor. With modest hardware requirements it is suitable for modern workstations and older hardware alike."
51,1,25,Ubuntu GNOME (ursprünglich Ubuntu GNOME Remix) ist eine Ubuntu Variante mit einer puren GNOME-Installation basierend auf den Ubuntu Repositories.
52,2,25,"Ubuntu GNOME (formerly Ubuntu GNOME Remix) is a mostly pure GNOME desktop experience built from the Ubuntu repositories. Our first (unofficial) release was 12.10 (Quantal Quetzal), released in October 2012."
53,1,26,"NixOS ist eine auf dem Nix Packetmanager basierende Linux Distribution. 
Das Hauptmerkmal dieser Linux Distribution ist die deklarative Konfiguration - jede Komponente des Systems wird mit ein und der selben Konfigurationssprache (Nix) konfiguriert. Dies reicht von dem Bootloader bis hin zu zur Desktopoberfläche."
54,2,26,"NixOS is a Linux distribution based on the nix package manager. The main feature of this distribution is the declarative configuration - every component of the system, from the bootloader to the desktop is configured with the same manager (Nix). "
