DBIndex,LanguageKey,Value,
42,1,"Der Linux Distribution Chooser soll helfen, Anfängern in der Linux Welt einen Überblick über geeignete Distributionen zu verschaffen. Der Distrochooser präsentiert dabei nur die Menge an Vorschlägen, die anhand der Antworten eingeschränkt werden.</br>
Im Gegensatz zur ""alten"" Version des Distrochoosers werden Distributionen, die unpassend sind, ausgefiltert. Daher ist es möglich, dass bei zu extremen Kombinationen keine Resultate ermittelt werden können.
</br></br>
Der Distrochooser macht nur Vorschläge und soll eine Orientierungshilfe bieten, um sich als Anfänger in der Welt von Linux orientieren zu können. Daher kann es passieren, dass nicht ganz passende Ergebnisse geliefert werden, wenn die Komplexität der gegebenen Antwort ein realistisches Maß übersteigt.
",aboutText
43,2,"The Linux Distribution Chooser tries to help new users to get an overview about suitable distributions. The service only offers Distributions which are suitable to the answers you give. If the answers where too unrealistic, the Distribution Chooser may offer no result. 
</br>
The old Linux Distribution Chooser calculates a different result and lists the distributions with an approximate result. </br>
</br>
This service should help to give an overview for beginners in Linux. It is possible that this service returns not 100 % suitable results when your answers exceed a realistic complexity limit. 
",aboutText
44,1,Aktuell einbezogene Distributionen,installedDistros
45,2,Currently available Distributions,installedDistros
46,1,Statistiken,stats
47,2,Statistics,stats
48,1,Distributionen nach Beliebtheit,rankedDistros
49,2,Distributions by popularity,rankedDistros
50,1,Alle Antworten auf einen Blick!,MatrixHeader
51,2,All answers at one sight!,MatrixHeader
52,1,Bildquelle,ImageSource
53,2,Image Source,ImageSource
54,1,Textquelle,TextSource
55,2,Text Source,TextSource
56,1,Beschreibung,Description
57,2,Description,Description
58,1,Screenshots,Screenshots
59,2,Screenshots,Screenshots
60,1,Leider keine Screenshots :(,NoScreenshots
61,2,No screenshots :(,NoScreenshots
62,1,Mein Ergebnis teilen,shareMyResultText
63,2,Share my result,shareMyResultText
64,1,Finde die richtige Linux-Distribution,FindTheRightLinux
65,2,Find the suitable Linux distribution,FindTheRightLinux
66,1,Es konnte keine 100 % passende Distribution gefunden werden. Daher zeige ich hier die Ergebnisse mit der größten Übereinstimmung an.,RelativeResults
67,2,There was no 100 % match. I will display the results with the highest accordance.,RelativeResults
68,1,Nächste Frage,nextQuestion
69,2,Next question,nextQuestion
70,1,Bisher gemachte Tests (diesen Monat),testCountCanvasTitle
71,2,Tests made until now (this month),testCountCanvasTitle
72,1,Beliebte Distributionen nach Testergebnis,distroResultStats
73,2,Distro by results,distroResultStats
74,1,Distrochooser wird ermöglicht durch,uses
75,2,Distrochooser is powered by,uses
76,1,Die Linux Auswahlhilfe in den Medien,Refs
77,2,The Distrochooser in the media,Refs
78,1,Radar,Radar
79,2,Radar,Radar
80,1,Wie zufrieden bist du mit dem Ergebnis?,ResultRatingHeader
81,2,How happy are you with the result?,ResultRatingHeader
82,1,Danke für Deine Bewertung :)!,thanksForRating
83,2,Thanks for your rating!,thanksForRating
