"val","langCode","translation"
"d.11.description","en","CentOS (abbreviated from Community Enterprise Operating System) is a Linux distribution that attempts to provide a free, enterprise-class, community-supported computing platform which aims to be 100% binary compatible with its upstream source, Red Hat Enterprise Linux (RHEL). In January 2014, it was announced that CentOS was officially joining forces with Red Hat while staying independent from RHEL, under a new CentOS Governing Board.  The first CentOS release in May 2004, numbered as CentOS version 2, was forked from RHEL version 2.1AS. As of versions 5.10 and 6.5, CentOS officially supports x86-64 and x86 architectures (with Physical Address Extension (PAE) required for the latter), while a beta release is expected to be available for the PowerPC architecture."
"d.12.description","en","Puppy Linux operating system is a lightweight Linux distribution that focuses on ease of use and minimal memory footprint. The entire system can be run from RAM with current versions generally taking up about 130 MB, allowing the boot medium to be removed after the operating system has started. Applications such as AbiWord (word documents), Gnumeric (spreadsheets) and MPlayer (multimedia player) are included, along with a choice of lightweight web browsers. The distribution was originally developed by Barry Kauler and other members of the community. The tool Woof can build a Puppy Linux distribution from the binary packages of other Linux distributions."
"d.13.description","en","Knoppix is an operating system based on Debian designed to be run directly from a CD / DVD (Live CD) or a USB flash drive (Live USB), one of the first of its kind for any operating system. Knoppix was developed by Linux consultant Klaus Knopper. When starting a program, it is loaded from the removable medium and decompressed into a RAM drive. The decompression is transparent and on-the-fly.  Although Knoppix is primarily designed to be used as a Live CD, it can also be installed on a hard disk like a typical operating system. Computers that support booting from USB devices can load Knoppix from a live USB flash drive or memory card.  There are two main editions of Knoppix: the traditional Compact Disc (700 megabytes) edition and the DVD (4.7 gigabytes) ""Maxi"" edition. Each of these main editions have two language-specific editions: English and German."
"d.14.description","en","Gentoo Linux is a computer operating system based on the Linux kernel and built using the Portage package management system. It is distributed as free and open source software. Unlike a binary software distribution, the source code is compiled locally according to the user's preferences and is often optimized for the specific type of computer. Precompiled binaries are available for some very large packages and for packages whose source code has not been released.  The ""Gentoo"" name comes from the fast-swimming Gentoo penguin. It was chosen to reflect the potential speed improvements of machine-specific optimization. Gentoo package management is designed to be modular, portable, easy to maintain, and flexible. Gentoo is sometimes described as a meta-distribution, ""because of its near-unlimited adaptability"", in that the majority of users have configurations and sets of installed programs which are unique to themselves."
"d.15.description","en","Antergos (previously known as Cinnarch) is a Linux distribution of Galician origin based on the Arch Linux operating system. It uses the GNOME 3 desktop environment by default but it can also be used with Cinnamon, Razor-qt and Xfce. It was released on July 2012 as Cinnarch and by May 2013 it ranked among the top 30 most popular distributions at Distrowatch. The Galician word Antergos (meaning: ancestors) was chosen ""to link the past with the present""."
"d.16.description","en","Bedrock Linux is a Linux distribution created with the aim of making most of the (often seemingly mutually-exclusive) benefits of various other Linux distributions available simultaneously and transparently."
"d.17.description","en","Tails or The Amnesic Incognito Live System is a security-focused Debian-based Linux distribution aimed at preserving privacy and anonymity. All its outgoing connections are forced to go through Tor, and direct (non-anonymous) connections are blocked. The system is designed to be booted as a live DVD or live USB, and will leave no trace (digital footprint) on the machine unless explicitly told to do so. The Tor Project has provided most of the financial support for its development."
"d.18.description","en","Zorin OS is an Ubuntu based Distribution for Linux newcomers. The user interface reminds on Windows to make an orientation more easy."
"d.19.description","en","Xubuntu is a Canonical Ltd.–recognized, community-maintained derivative of the Ubuntu operating system. It uses the Xfce desktop environment, instead of Ubuntu's Unity"
"d.2.description","en","Ubuntu is a Debian-based Linux operating system, with Unity as its default desktop environment (GNOME was the previous desktop environment). It is based on free software and named after the Southern African philosophy of ubuntu (literally, ""human-ness""), which often is translated as ""humanity towards others"" or ""the belief in a universal bond of sharing that connects all humanity"".  According to some metrics, Ubuntu is the most popular desktop Linux distribution to date. See Installed base section.  Development of Ubuntu is led by Canonical Ltd., a company owned by South African entrepreneur Mark Shuttleworth. Canonical generates revenue through the sale of technical support and other services related to Ubuntu. The Ubuntu project is publicly committed to the principles of open source development; people are encouraged to use free software, study how it works, improve upon it, and distribute it."
"d.20.description","en","Lubuntu is a lightweight Linux operating system based on Ubuntu but using the LXDE desktop environment in place of Ubuntu's Unity shell and GNOME desktop. LXDE is touted as being ""lighter, less resource hungry and more energy-efficient""."
"d.21.description","en","Kubuntu is an official derivative of the Ubuntu operating system which uses the KDE Plasma Desktop instead of the Unity graphical environment. As part of the Ubuntu project, Kubuntu uses the same underlying systems, every package in Kubuntu shares the same repositories as Ubuntu, and it is released regularly on the same schedule as Ubuntu."
"d.22.description","en","Slackware is a Linux distribution created by Patrick Volkerding in 1993. Originally based on Softlanding Linux System, Slackware has been the basis for many other Linux distributions, most notably the first versions of SUSE Linux, and is the oldest currently being maintained. Slackware aims for design stability and simplicity and to be the most ""Unix-like"" Linux distribution. It makes as few modifications as possible to software packages from upstream and tries not to anticipate use cases or preclude user decisions."
"d.23.description","en","Ubuntu MATE is a stable, easy-to-use operating system with a configurable desktop environment. Ideal for those who want the most out of their desktops, laptops and netbooks and prefer a traditional desktop metaphor. With modest hardware requirements it is suitable for modern workstations and older hardware alike."
"d.24.description","en","Ubuntu GNOME (formerly Ubuntu GNOME Remix) is a mostly pure GNOME desktop experience built from the Ubuntu repositories. Our first (unofficial) release was 12.10 (Quantal Quetzal), released in October 2012."
"d.25.description","en","NixOS is a Linux distribution based on the nix package manager. The main feature of this distribution is the declarative configuration - every component of the system, from the bootloader to the desktop is configured with the same manager (Nix). "
"d.26.description","en","KDE neon is a rapidly updated software repository. Most users will want to use the packages built from released software which will be available soon. KDE contributors and testers can use the packages built from KDE Git. It uses the foundation of the latest Ubuntu LTS (16.04)."
"d.27.description","en","Linux From Scratch is a project that provides you with step-by-step instructions for building your own customized Linux system entirely from source."
"d.28.description","en","Red Hat Enterprise Linux (RHEL) is a Linux Distribution for business use, offering high stability and a wide support by independent software developers"
"d.29.description","en","Qubes OS runs all applications inside virtual environments. The environments are either based on Fedora, Debian, Whonix or Windows. Using this isolation technique, a better security is granted for the user."
"d.3.description","en","Manjaro Linux, or just Manjaro (pronounced like Kilimanjaro), is a Linux distribution, with Xfce as its default user interface. It is a primarily free software operating system for personal computers aimed at ease of use. Like its base, Arch Linux, it uses a rolling release model."
"d.30.description","en","Scientific Linux is a distribution derived form Red Hat Enterprise Linux (RHEL). The distributions is designed for scientific purposes, furthermore it is fully compatible with RHEL. Updates of RHEL are adjusted for Scientific Linux with a delay of few months. Scientific Linux is binary compatible with RHEL."
"d.31.description","en","Void Linux is a new Linux distribution without relation to other distributions. The programs are linked against the musl or libc. The package manager XBPS allows to install programs from source or via binary. Void Linux uses runit instead of systemd."
"d.32.description","en","Devuan is a fork of Debian and does not use systemd. Instead, runit, sysvinit and others can be used as a replacement."
"d.33.description","en","openSuse Tumbleweed is a rolling-release-distribution based on openSuse Factory. The distribution has fast updates and offers newer software in comparison to other editions of openSuse. openSuse Tumbleweed is recommended for users with exerience with openSuse, but not for beginners in Linux."
"d.34.description","en","Solus OS is a beginner friendly Linux Distribution, containing the self developed Budgie desktop providing a closed out of-the-box expierience. The distribution does only support 64 bit capable systems."
"d.4.description","en","Linux Mint is a 32- and 64-bit Linux distribution for desktop computers, based on either Ubuntu or Debian. Its stated aim is to be a ""modern, elegant and comfortable operating system which is both powerful and easy to use."" Mint provides full out-of-the-box multimedia support by including some proprietary software such as Adobe Flash. Mint's motto is ""from freedom came elegance"".  New versions of Linux Mint have been released approximately every six months. The first release, named ""Ada"", was released in 2006. The 17th release, ""Qiana"", was released on May 31, 2014. Support for older releases usually ends shortly after the next version is released, but there have been releases with long-term support, with v17.x supported for five years, ending in April 2019."
"d.5.description","en","Debian is an operating system which is composed primarily of free software, most of which is under the GNU General Public License, and developed by a group of individuals known as the Debian project. Debian is one of the most popular Linux distributions for personal computers and network servers, and has been used as a base for several other Linux distributions.  Debian was first announced in 1993 by Ian Murdock, and the first stable release was made in 1996. The development is carried out over the Internet by a team of volunteers guided by a project leader and three foundational documents. New distributions are updated continually, and the next candidate is released after a time-based freeze.  As one of the earliest Linux distributions, it was envisioned that Debian was to be developed openly in the spirit of Linux and GNU. This vision drew the attention and support of the Free Software Foundation, which sponsored the project for the first part of its life."
"d.6.description","en","Mageia is a Linux computer operating system, distributed as free and open source software. It is forked from the Mandriva Linux distribution.  The first release of the software distribution, Mageia 1, took place in June 2011."
"d.7.description","en","Fedora (formerly Fedora Core) is an operating system based on the Linux kernel, developed by the community-supported Fedora Project and owned by Red Hat. Fedora contains software distributed under a free and open source license and aims to be on the leading edge of such technologies.  Linus Torvalds, author of the Linux kernel, uses Fedora on all his computers."
"d.8.description","en","openSUSE is a general purpose operating system built on top of the Linux kernel, developed by the community-supported openSUSE Project and sponsored by SUSE and a number of other companies. After Novell acquired SUSE Linux in January 2004, Novell decided to release the SUSE Linux Professional product as a 100% open source project. In 2011 The Attachmate Group acquired Novell and split Novell and SUSE into two autonomous subsidiary companies. SUSE offers products and services around SUSE Linux Enterprise—their commercial offering that is based on openSUSE Linux.  The initial release of the community project was a beta version of SUSE Linux 10.0, and as of November 19, 2013 the current stable release is openSUSE 13.1."
"d.9.description","en","elementary OS is a Linux distribution based on Ubuntu. It makes use of a desktop with its own shell named Pantheon, and is deeply integrated with other elementary OS applications like Plank (a dock), Midori (the default web browser) and Scratch (a simple text editor). This distribution uses Gala as its window manager, which is based on Mutter.  The distribution initially started as a set of themes and applications designed for Ubuntu which later turned into its own Linux distro. Being Ubuntu-based, it is compatible with its repositories and packages. It uses Ubuntu's own software center to handle installation/removal of software, though its own software center is in the making. Its user interface aims at being intuitive for new users without consuming too many resources."
"fromsource","en","Programs will be obtained mostly by their sourcecode"
"help-community","en","Help using community present"
"help-wiki","en","Help via Wiki present"
"important","en","important!"
"installation-base","en","Installs only base operating systems"
"installation-full","en","Installs additional software, like web browsers"
"installation-hdd","en","Can be installed on hard disk drives"
"installation-live","en","Live-Test for pre tests possible"
"installation-usb","en","Can be installed on USB sticks"
"installer-defaults-wanted","en","Installation assistant with preset values"
"installer-hdd","en","Installation on Hard disk achievable"
"installer-no-defaults","en","Installation: No presets"
"installer-no-defaults-wanted","en","Less preset configuration values at install"
"license-free","en","Uses free licenses, like GNU GPL"
"license-unfree-if-needed","en","Applies software with nonfree licenses"
"license-unfree-if-needed","en","Uses also closed source software, if needed"
"linux-advanced","en","Linux-Knowledge: Sophisticated "
"linux-beginner","en","Linux knowledge: Beginner"
"linux-expert","en","Linux-Knowledge: Professional"
"mac-like","en","Default user interface is macOS-ish"
"multipackage","en","Is able to install packages from other distributions"
"no-package-manager","en","Applications are installed by building them out of their sourcecode"
"no-systemd","en","Some variants spare systemd usage"
"notimportant","en","less important"
"pay-nothing","en","Variants can be used free of charge"
"pay-price","en","Fee-based variants existing, e. g. for enterprise usage"
"pc-advanced","en","Computer-Knowledge: Advanced"
"pc-beginner","en","PC knowledge: Beginner"
"pc-expert","en","Computer-Knowledge: Professional"
"pc-old","en","Variants for older computers existing"
"pc-up-to-date","en","Requires a computer (mostly) with up to date components. Does not run on 32 bit CPU."
"privacy-online-not-okay","en","Does not connect to third party companies in background, like search pages. "
"privacy-online-okay","en","Connects to search companies in background"
"programs-graphical","en","Software management via App Store like tools"
"programs-shell","en","Software administration mostly via shell commands"
"q.1.text","en","How would I rate my knowledge using my computer?"
"q.1.title","en","Computer knowledge"
"q.10.text","en","Some distributions use online services to improve the user expierience. This may affect the privacy of the user, the user can be tracked when using such online features."
"q.10.title","en","Distributions: Privacy"
"q.11.text","en","Some distributions are shipping programs or desktops with own themes or icon sets to create a complete user expierience."
"q.11.title","en","Distributions: Preset themes, icons and wallpapers"
"q.12.text","en","On Linux you can install software on different ways. You can build software from the sourcecode or install them via packages. What do I prefer?"
"q.12.title","en","Software: Administration"
"q.13.text","en","Some distributions offer faster updates, which can affect system stability. What do you prefer?"
"q.13.title","en","Software: Updates"
"q.14.text","en","Some distributions are made for a special purpose, some for daily use. What do you need?"
"q.14.title","en","Software: Use case"
"q.15.text","en","It is important to know how old is the system because some distributions won't run on old computers. The main reason for this is the dropped support for older technologies, like the 32-bit processor architecture in favor of the 64-bit architecture."
"q.15.title","en","Installation: Hardware support"
"q.16.text","en","Some distributions may use special features, such as security enhancements. Which of the following features do I want to use (if any)? "
"q.16.title","en","Distribution: Special features"
"q.2.text","en","How would I rate my knowledge with Linux itself?"
"q.2.title","en","Linux Knowlege"
"q.3.text","en","How many preferences do you wish to change by yourself during installation? How many configuration variables should be filled out with a default value?"
"q.3.title","en","Installation: Presets"
"q.4.text","en","Most of the distributions include the possibility to start from USB-Stick or DVD to test the distribution without changing your computer. Some distributions can be installed on the USB-Stick itself with your data and settings stored on the USB-Stick (""persistent installation"")."
"q.4.title","en","Installation: Live-Test needed?"
"q.5.text","en","Some distributions prefer articles in wikis for troubleshooting. What do I prefer?"
"q.5.title","en","Configuration: Help source"
"q.6.text","en","Linux can use a lot of different User Interfaces (""Desktops""). Many distributions ship one desktop as default. It is important to know if there are any preferences for a concept. You can switch and install new desktops at any time!"
"q.6.title","en","Distributions: User experience concept"
"q.7.text","en","Most distributions are free. Some distributions offer additional support for an (initial) fee."
"q.7.title","en","Distributions: Price"
"q.8.text","en","Different Distributions install a different amount of programs. Some are installing a complete amount of programs to work ""out of the box"". Other distributions installing only a base install to let the user decide what software to use."
"q.8.title","en","Distributions: Scope"
"q.9.text","en","The (license) ideology of a distribution is always a contentious debate. There are distributions using mostly ""free-licenses"", others also use ""nonfree"" software. Free licenses allow the user to modify, redistribute and use the software for any purpose. There are situations where a distribution has to use non-free software, for example for drivers. Nonfree software does not distribute it's sourcecode and modifications are not allowed.

It is important to know if you have some preferences in a license model. "
"q.9.title","en","Distributions: Ideology"
"share","en","Share my result"
"sys.3","en","This links contains an old test, created with a previous version of distrochooser.de. You can access this old test <a href='#link#'>here</a>."
"sys.3link","en","here"
"sys.3link","en","here"
"sys.3link","en","here"
"sys.abort","en","abort"
"sys.about","en","About this project"
"sys.about.short","en","About"
"sys.answered","en","answered"
"sys.back","en","back"
"sys.backshort","en","back"
"sys.can-delete","en","You can delete answers at any time"
"sys.can-get-result-anyorder","en","You can answer in arbitrary order"
"sys.can-get-result-anytime","en","You can always click on 'get result'"
"sys.can-mark-important","en","You can weight properties at the end of the test to emphasize what is important to you"
"sys.can-skip-questions","en","You can always skip questions"
"sys.clear","en","clear"
"sys.contact","en","Contact"
"sys.displayexcluded","en","Show excluded"
"sys.excludedbytag","en","This question is too far away from your requirement profile. You can answer it, but you can safely skip it."
"sys.getresult","en","get result"
"sys.imagesource","en","Image source"
"sys.important","en","important"
"sys.intro","en","Welcome"
"sys.intro","en","Welcome! This test will help you to choose a suitable Linux distribution for you."
"sys.lang","en","Language"
"sys.links","en","Links"
"sys.next","en","proceed"
"sys.nodistros","en","We could not calculate a list based on your given answers"
"sys.nodistrostext","en","Please update your answers and weightings to allow us a recalculation for you."
"sys.notags","en","We could not find any matches based on your requirements"
"sys.notimportant","en","not important"
"sys.or","en","or"
"sys.privacy","en","Privacy"
"sys.rate","en","How happy are you with the result?"
"sys.rated","en","Thanks for your feedback!"
"sys.rating-1","en","Unsatisfied!"
"sys.rating-2","en","fair enough!"
"sys.rating-3","en","I'm happy!"
"sys.skip","en","skip question"
"sys.start","en","Start the test"
"sys.textsource","en","Text source"
"sys.vendor","en","A project by"
"sys.warning","en","Attention"
"sys.weight","en","weight my answers"
"sys.weight","en","Weight answers"
"sys.weighterror","en","All of your evaluations are negative, we can not continue with this data. Please leave at least 1 category with a positive or at least neutral value."
"sys.weightinfo","en","Move the slider to mark a property as important (right) or less important (left)"
"sys.weightorresult","en","Get results or weight my answers?"
"sys.welcometext","en","Welcome"
"systemd","en","Variants are useing systemd as init process"
"updates-stable","en","Updates are less often, but more stable"
"updates-unstable","en","Fast updates, but can be unstable"
"usage-anon","en","Made for anonymisation purposes"
"usage-daily","en","Can be used for daily usage"
"usage-gaming","en","Game manufactures support this distribution"
"usage-rescue","en","Can be used for data rescue, because it can be bootet from USB/ DVD/ CD"
"usage-science","en","Delivers applications for scientific purposes"
"ux-closed","en","User interface has own color and design scheme"
"ux-undecided","en","Does not deliver an closed design concept"
"windows-like","en","User interface Design concept reminds to Windows"
